UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9NPI6	O75563	55802	8935	DCP1A	SKAP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Dr:Q6PG29;Mm:Q3UND0;Rn:Q920G0	-
Q9NPI6	P53779	55802	5602	DCP1A	MAPK10	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	-	-
Q9NPI6	F8WEM9	55802	-	DCP1A	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	-	-
Q9NPI6	Q96ND8	55802	147949	DCP1A	ZNF583	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Dm:Q4V6Y6;Mm:Q3V080;Rn:F1M0F0	-
Q9NPI6	P05026	55802	481	DCP1A	ATP1B1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Dr:F1Q6G8;Dr:Q9DGL3;Mm:P14094;Rn:P07340	-
Q9NPI6	Q15005	55802	9789	DCP1A	SPCS2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Ce:Q9XWW1;Dm:Q9VYY2;Mm:Q9CYN2;Rn:D3ZD11	Dr:F1R9Q0
Q9NPI6	Q96SY0	55802	81556	DCP1A	INTS14	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	-	-
Q9NPI6	Q6UWY0	55802	153642	DCP1A	ARSK	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Mm:A0A0R4J1N2;Rn:Q32KJ2	-
Q9NPI6	Q9P241	55802	57205	DCP1A	ATP10D	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Rn:D3ZN41	Dr:B8JJN8;Mm:Q8BU62
Q9NPI6	Q9NR11	55802	55900	DCP1A	ZNF302	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	-	Dm:Q9VGQ6
Q9NPI6	Q9Y2S6	55802	51372	DCP1A	TMA7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Mm:Q8K003	-
Q9NPI6	Q8IVF6	55802	253650	DCP1A	ANKRD18A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	-	-
Q9NPI6	Q9H8M5	55802	54805	DCP1A	CNNM2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Dr:A2ATX7;Mm:Q3TWN3;Rn:Q5U2P1	-
Q9NPI6	Q8NEJ9	55802	25983	DCP1A	NGDN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Ce:Q8IG68;Dm:Q9VMM7;Dr:F1REQ4;Mm:Q9DB96;Rn:D3ZBL3	-
Q9NPI6	Q99460	55802	5707	DCP1A	PSMD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Ce:Q18115;Dm:Q9V3P6;Mm:Q3TXS7;Rn:G3V8B6;Sc:P32565	Dr:F1QY43
Q9NPI6	Q96MD7	55802	138241	DCP1A	C9orf85	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Dr:A3KPQ4;Mm:Q9CQ90;Rn:Q68FU5	-
Q9NPI6	O00165	55802	10456	DCP1A	HAX1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Mm:O35387;Rn:M0R639	Dr:Q6DHN8
Q9NPI6	H3BV60	55802	100507588	DCP1A	TGFBR3L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Mm:D3YZZ2;Rn:M0R3W3	-
Q9NPI6	Q9UJJ7	55802	113000	DCP1A	RPUSD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Dr:F1RAY7;Mm:Q8VCZ8;Rn:B1WC14	-
Q9NPI6	Q8IY85	55802	124989	DCP1A	EFCAB13	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	-	-
Q9NPI6	Q8N1D0	55802	5003	DCP1A	SLC22A18AS	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	-	-
Q9NPI6	P61218	55802	5435	DCP1A	POLR2F	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Dm:Q24320;Mm:P61219;Rn:O88828	Dr:Q6DGS5
Q9NPI6	Q15642	55802	9322	DCP1A	TRIP10	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Mm:Q8CJ53;Rn:A0A0G2K7Y5	-
Q9NPI6	P84077	55802	375	DCP1A	ARF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Dm:P61209;Dr:Q7ZUZ7;Dr:Q803D1;Dr:Q6NYD8;Mm:P84078;Rn:P84079	-
Q9NPI6	O43598	55802	10591	DCP1A	DNPH1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	Mm:Q80VJ3;Rn:O35820	Dr:B8A556
Q9NPI6	P61956	55802	6613	DCP1A	SUMO2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6	-	-
