UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9CWH0	P61406	73703	103677	Dppa2	Smg6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	Hs:Q86US8	Dr:A0A0R4IZ84;Rn:D4A589
Q9CWH0	E9PY39	73703	-	Dppa2	Gm20431	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	-	-
Q9CWH0	P24547	73703	23918	Dppa2	Impdh2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	Dr:B0UXP9;Rn:E9PU28	-
Q9CWH0	A0A087WRU1	73703	-	Dppa2	CN725425	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	Hs:Q86WS4	Rn:F1LTS3
Q9CWH0	P31786	73703	13167	Dppa2	Dbi	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	Hs:P07108;Ce:O01805;Ce:Q20507;Dm:Q9VLS4;Dr:Q6P5L2;Rn:P11030	-
Q9CWH0	P14148	73703	19989	Dppa2	Rpl7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	Hs:P18124;Ce:O01802;Dm:P32100;Dr:Q6Q417;Rn:B0K031;Sc:P05737;Sc:Q12213	-
Q9CWH0	G3X9K3	73703	211673	Dppa2	Arfgef1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	Hs:Q9Y6D6;Rn:D4A631	Dr:E7FGL2
Q9CWH0	Q91V89	73703	21770	Dppa2	Ppp2r5d	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	-	-
Q9CWH0	P05627	73703	16476	Dppa2	Jun	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	Hs:P05412;Dr:Q6NZT5;Rn:P17325	-
Q9CWH0	A0A1B0GSD2	73703	76713	Dppa2	Slc6a21	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	Rn:F7EU61	-
Q9CWH0	Q6IE21	73703	408193	Dppa2	Otud6a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	Hs:Q7L8S5	Rn:D3ZX46
Q9CWH0	P63325	73703	67097	Dppa2	Rps10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	Hs:P46783;Ce:O01869;Dm:Q9VWG3;Rn:D3ZJY5;Rn:A0A0H2UI18;Sc:P46784;Sc:Q08745	Dr:Q7T1J9;Rn:F1LT36;Rn:P63326
Q9CWH0	B0V2N1	73703	19280	Dppa2	Ptprs	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	Hs:Q13332	Dr:F1QLA4;Rn:M0R711
Q9CWH0	Q8R4V2	73703	252864	Dppa2	Dusp15	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	Hs:Q9H1R2	Rn:M0RD87
Q9CWH0	Q9CUJ8	73703	-	Dppa2	4930519P11Rik	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	-	-
Q9CWH0	Q8JZN7	73703	214952	Dppa2	Rhot2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	Dr:Q32LU1	-
Q9CWH0	P46425	73703	14869	Dppa2	Gstp2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	-	-
Q9CWH0	Q9CQX8	73703	66128	Dppa2	Mrps36	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	Hs:P82909;Dr:A8WHV7	Rn:A0A0G2JZC3
Q9CWH0	Q5SUE3	73703	432582	Dppa2	Ccdc92b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q7Z7J5	-	Dr:E7F6V4;Rn:A0A0G2K1E8	-
