UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9Y6Y0	O43324	10625	9521	IVNS1ABP	EEF1E1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q21854;Dr:Q5RG82;Mm:Q920Q8;Rn:A0A0G2K427	-	Dm:Q8MKK1	-
Q9Y6Y0	Q6UX07	10625	147015	IVNS1ABP	DHRS13	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q21854;Dr:Q5RG82;Mm:Q920Q8;Rn:A0A0G2K427	-	Dr:Q6DBT2;Dr:F1R2W1;Mm:Q5SS80	Rn:D3ZBC7
Q9Y6Y0	O95278	10625	7957	IVNS1ABP	EPM2A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q21854;Dr:Q5RG82;Mm:Q920Q8;Rn:A0A0G2K427	-	Dr:E9QCC5;Mm:Q9WUA5;Rn:Q91XQ2	-
Q9Y6Y0	Q9Y600	10625	51380	IVNS1ABP	CSAD	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q21854;Dr:Q5RG82;Mm:Q920Q8;Rn:A0A0G2K427	-	Mm:Q9DBE0;Rn:Q64611	Dr:F1QG14
Q9Y6Y0	Q99700	10625	6311	IVNS1ABP	ATXN2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q21854;Dr:Q5RG82;Mm:Q920Q8;Rn:A0A0G2K427	-	Ce:K8FDZ1;Dr:A2CF31;Mm:E9QM77;Rn:F1M049	-
Q9Y6Y0	Q70UQ0	10625	121457	IVNS1ABP	IKBIP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q21854;Dr:Q5RG82;Mm:Q920Q8;Rn:A0A0G2K427	-	Rn:Q5EAJ6	Mm:E9QMH7
Q9Y6Y0	Q6QNY1	10625	282991	IVNS1ABP	BLOC1S2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q21854;Dr:Q5RG82;Mm:Q920Q8;Rn:A0A0G2K427	-	Ce:Q95XD3;Dm:Q9VTE0;Mm:Q9CWG9	Rn:A0SXU1
Q9Y6Y0	Q14004	10625	8621	IVNS1ABP	CDK13	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q21854;Dr:Q5RG82;Mm:Q920Q8;Rn:A0A0G2K427	-	-	-
Q9Y6Y0	Q96BY2	10625	64112	IVNS1ABP	MOAP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q21854;Dr:Q5RG82;Mm:Q920Q8;Rn:A0A0G2K427	-	Mm:Q9ERH6;Rn:Q5BJV6	-
Q9Y6Y0	Q53GI3	10625	84124	IVNS1ABP	ZNF394	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q21854;Dr:Q5RG82;Mm:Q920Q8;Rn:A0A0G2K427	-	Mm:Q9Z1D9;Rn:Q498N6	-
