UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9D0N7	Q60649	110749	20480	Chaf1b	Clpb	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13112;Ce:Q95XL8;Dr:E7EYR2;Rn:Q4V8B4;Sc:Q04199	-	Hs:Q9H078;Rn:A0A0G2K3V9	-
Q9D0N7	Q91VH1	110749	72674	Chaf1b	Adipor1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13112;Ce:Q95XL8;Dr:E7EYR2;Rn:Q4V8B4;Sc:Q04199	-	Hs:Q96A54;Dr:F1QJJ9;Rn:G3V6I6	-
Q9D0N7	Q9QUH1	110749	30050	Chaf1b	Fbxw2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13112;Ce:Q95XL8;Dr:E7EYR2;Rn:Q4V8B4;Sc:Q04199	-	Hs:Q9UKT8;Dr:B8A562;Rn:B2RZ17	-
Q9D0N7	Q6NZF1	110749	70579	Chaf1b	Zc3h11a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13112;Ce:Q95XL8;Dr:E7EYR2;Rn:Q4V8B4;Sc:Q04199	-	-	-
Q9D0N7	E9Q1W7	110749	271981	Chaf1b	Tbck	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13112;Ce:Q95XL8;Dr:E7EYR2;Rn:Q4V8B4;Sc:Q04199	-	Hs:Q8TEA7;Dm:Q9W4F8;Rn:A0A0G2K9Q0	-
Q9D0N7	E9QQ68	110749	209478	Chaf1b	Tbc1d12	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13112;Ce:Q95XL8;Dr:E7EYR2;Rn:Q4V8B4;Sc:Q04199	-	Hs:O60347;Dr:E7FDW4;Rn:M0R7T9	-
Q9D0N7	Q8CFD4	110749	231834	Chaf1b	Snx8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13112;Ce:Q95XL8;Dr:E7EYR2;Rn:Q4V8B4;Sc:Q04199	-	-	-
Q9D0N7	P81069	110749	213054	Chaf1b	Gabpb2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13112;Ce:Q95XL8;Dr:E7EYR2;Rn:Q4V8B4;Sc:Q04199	-	Hs:Q8TAK5	Rn:D3ZSD3
Q9D0N7	Q8BFY9	110749	238799	Chaf1b	Tnpo1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13112;Ce:Q95XL8;Dr:E7EYR2;Rn:Q4V8B4;Sc:Q04199	-	-	-
Q9D0N7	Q8BZ60	110749	108800	Chaf1b	Ston2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13112;Ce:Q95XL8;Dr:E7EYR2;Rn:Q4V8B4;Sc:Q04199	-	Hs:Q8WXE9;Dr:F1QDL6;Rn:D4AB66	-
