UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9BVI0	P55265	51230	103	PHF20	ADAR	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Mm:Q99MU3;Rn:G3V8T3	-
Q9BVI0	Q86TI2	51230	91039	PHF20	DPP9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Mm:Q8BVG4;Rn:M0R781	Dr:B0V1L8
Q9BVI0	P42704	51230	10128	PHF20	LRPPRC	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Dm:Q9VJ86;Dr:F5H8N4;Mm:Q6PB66;Rn:F1LM33	-
Q9BVI0	O00470	51230	4211	PHF20	MEIS1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Dm:O46339;Dr:Q90XH2;Mm:Q60954;Rn:B1WC31	-
Q9BVI0	Q99418	51230	9266	PHF20	CYTH2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Rn:F1LSU6	Dr:E7F1N2;Mm:Q99KH2
Q9BVI0	Q9BWU0	51230	22950	PHF20	SLC4A1AP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	-	-
Q9BVI0	Q96RT7	51230	85378	PHF20	TUBGCP6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Mm:G5E8P0;Rn:D4A709	Dr:A0A0G2KGM8
Q9BVI0	Q14684	51230	23076	PHF20	RRP1B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Mm:Q91YK2;Rn:D3ZY39	-
Q9BVI0	Q9BTA9	51230	51322	PHF20	WAC	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Mm:Q924H7;Rn:F1LW69	Dr:F1QS79
Q9BVI0	Q8N729	51230	283869	PHF20	NPW	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Rn:Q8K1M5	-
Q9BVI0	Q96NT3	51230	83606	PHF20	GUCD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Dm:Q9W4Y0;Dr:Q08CN7;Mm:Q8BZI6	-
Q9BVI0	P17021	51230	7565	PHF20	ZNF17	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	-	-
Q9BVI0	Q5JWF2	51230	2778	PHF20	GNAS	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	-	-
Q9BVI0	Q8WUD1	51230	84932	PHF20	RAB2B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Mm:P59279;Rn:Q3B7V5	-
Q9BVI0	P53992	51230	9632	PHF20	SEC24C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Rn:B5DEG8	Mm:G3X972
Q9BVI0	Q15833	51230	6813	PHF20	STXBP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Dr:F1RAE9;Mm:Q64324;Rn:G3V637	-
Q9BVI0	Q9Y6D5	51230	10564	PHF20	ARFGEF2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Mm:A2A5R2;Rn:Q7TSU1	Dr:E9QF76
Q9BVI0	Q9Y2R5	51230	51373	PHF20	MRPS17	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	-	-
Q9BVI0	O14593	51230	8625	PHF20	RFXANK	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Dm:Q9VL58;Dr:B3DI78;Mm:Q9Z205;Rn:Q5PQM6	-
Q9BVI0	Q14592	51230	10794	PHF20	ZNF460	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	-	-
Q9BVI0	Q5BJH2	51230	85013	PHF20	TMEM128	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Mm:Q9CZB9;Rn:B2RZ32	-
Q9BVI0	P26368	51230	11338	PHF20	U2AF2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Ce:P90978;Dm:Q24562;Dr:E7F8Y4;Mm:P26369;Rn:F2Z3T9	Dr:Q6P022
Q9BVI0	Q15631	51230	7247	PHF20	TSN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Dm:Q7JVK6;Dr:Q4V9N1;Mm:Q62348	Rn:E9PT79
Q9BVI0	Q9BS34	51230	93474	PHF20	ZNF670	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Dr:F1QSZ5	-
Q9BVI0	Q96B01	51230	10635	PHF20	RAD51AP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Dr:Q1L8M2;Mm:A0A0R4J1G4;Rn:A1A5P3	-
Q9BVI0	Q5VUA4	51230	24149	PHF20	ZNF318	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Mm:Q99PP2;Rn:F1M0H0	-
Q9BVI0	Q9H6L2	51230	79583	PHF20	TMEM231	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Dr:Q7T316;Mm:Q3U284;Rn:Q5FVM1	Ce:Q22804;Dm:Q9VMR1
Q9BVI0	O75864	51230	284352	PHF20	PPP1R37	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Mm:Q8BKR5;Rn:B2RYF1	-
Q9BVI0	Q16186	51230	11047	PHF20	ADRM1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Ce:Q09289;Dm:Q7K2G1;Mm:Q9JKV1;Mm:A0A0A6YVU8;Rn:Q9JMB5	Dr:A8WGS1
Q9BVI0	Q14166	51230	23170	PHF20	TTLL12	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Dm:Q7JVG6;Mm:Q3UDE2	Ce:Q09512;Rn:D4A1Q9
Q9BVI0	Q8WUB8	51230	55274	PHF20	PHF10	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Ce:Q2A950;Dr:Z4YI11;Mm:K4DI61;Rn:A0A0G2K3M7	-
Q9BVI0	Q6SZW1	51230	23098	PHF20	SARM1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Dr:F1QWA8;Mm:Q6PDS3;Rn:D3ZUM2	Ce:Q5I9W0
Q9BVI0	Q96RG2	51230	23178	PHF20	PASK	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Mm:Q8CEE6	Dr:B0S5Z9;Rn:Q5PQT0
Q9BVI0	P56524	51230	9759	PHF20	HDAC4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	-	-
Q9BVI0	Q86WZ6	51230	7770	PHF20	ZNF227	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	-	-
Q9BVI0	Q9BX70	51230	55643	PHF20	BTBD2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Dr:Q1LYG7;Dr:A0A0G2KCJ6;Mm:E9PUS2;Rn:F1M311	-
Q9BVI0	Q9BTE0	51230	26151	PHF20	NAT9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	-	-
Q9BVI0	P51858	51230	3068	PHF20	HDGF	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Mm:P51859;Rn:F1LPC7	-
Q9BVI0	Q9ULJ7	51230	57182	PHF20	ANKRD50	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Rn:F1LWB9	Dr:F1R1D9
Q9BVI0	Q8TF09	51230	83657	PHF20	DYNLRB2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Dm:Q7KMS3;Dr:K7DY76;Mm:Q9DAJ5;Rn:D4A0A0	-
Q9BVI0	Q99436	51230	5695	PHF20	PSMB7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1	Ce:O62102;Dm:Q9VUJ1;Dr:Q7T002;Mm:P70195;Rn:Q9JHW0;Sc:P25043	-
