UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8BSP2	Q925Q3	52683	170756	Ncaph2	Slc8b1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6IBW4;Dr:Q5RH01	Rn:A0A0G2K4H8	Hs:Q6J4K2;Ce:P34315;Ce:P34322;Dm:A1Z7I1;Dm:A1Z8H3;Rn:Q6AXS0	Ce:O16241;Ce:O16242;Ce:Q965R5
Q8BSP2	Q9CZL2	52683	70617	Ncaph2	Fam241a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6IBW4;Dr:Q5RH01	Rn:A0A0G2K4H8	Hs:Q8N8J7;Rn:D4A9Y2	-
Q8BSP2	Q9D8U2	52683	66664	Ncaph2	Tmem41a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6IBW4;Dr:Q5RH01	Rn:A0A0G2K4H8	Hs:Q96HV5;Ce:Q9XXB4;Ce:Q22316;Rn:M0R9Y7	Dr:Q6NV38
Q8BSP2	Q9D853	52683	72096	Ncaph2	Eef1akmt2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6IBW4;Dr:Q5RH01	Rn:A0A0G2K4H8	Hs:H3BQF6;Ce:Q9GYH9;Dm:Q9VQJ8;Sc:P40516	Hs:A0A494BZY7
Q8BSP2	P28776	52683	15930	Ncaph2	Ido1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6IBW4;Dr:Q5RH01	Rn:A0A0G2K4H8	Hs:P14902	Rn:F1LMC9
Q8BSP2	Q68ED7	52683	382056	Ncaph2	Crtc1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6IBW4;Dr:Q5RH01	Rn:A0A0G2K4H8	Hs:Q6UUV9;Rn:Q157S1	Dr:F1QYY6
Q8BSP2	Q80XR2	52683	235574	Ncaph2	Atp2c1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6IBW4;Dr:Q5RH01	Rn:A0A0G2K4H8	Hs:P98194	Dr:F1REJ1;Rn:F1M281
Q8BSP2	Q9WUN2	52683	56480	Ncaph2	Tbk1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6IBW4;Dr:Q5RH01	Rn:A0A0G2K4H8	Hs:Q9UHD2;Rn:D4A7D3	-
Q8BSP2	Q9D752	52683	71890	Ncaph2	Mad2l2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6IBW4;Dr:Q5RH01	Rn:A0A0G2K4H8	Hs:Q9UI95;Dm:Q9VNE1;Rn:D3Z8D9	Dr:Q568H3
Q8BSP2	Q3UPF5	52683	78781	Ncaph2	Zc3hav1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6IBW4;Dr:Q5RH01	Rn:A0A0G2K4H8	-	-
Q8BSP2	Q8CFD5	52683	71991	Ncaph2	Ercc8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6IBW4;Dr:Q5RH01	Rn:A0A0G2K4H8	Hs:Q13216;Dr:A9C3R3;Rn:G3V7B8	-
Q8BSP2	Q60773	52683	12581	Ncaph2	Cdkn2d	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6IBW4;Dr:Q5RH01	Rn:A0A0G2K4H8	Hs:P55273;Dr:I3ISM6	-
Q8BSP2	Q571E4	52683	50917	Ncaph2	Galns	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6IBW4;Dr:Q5RH01	Rn:A0A0G2K4H8	Hs:P34059;Rn:Q32KJ6	Dr:F8W261
