UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q5SXM2	A6NJB7	6621	284338	SNAPC4	PRR19	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	Mm:A2AIV6;Rn:D4A3C9	Mm:B2RW88	Rn:D3ZED7
Q5SXM2	Q8WTP8	6621	64782	SNAPC4	AEN	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	Mm:A2AIV6;Rn:D4A3C9	Mm:Q9CZI9;Rn:B2GUW6	-
Q5SXM2	Q96HQ2	6621	91368	SNAPC4	CDKN2AIPNL	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	Mm:A2AIV6;Rn:D4A3C9	Mm:Q9D211;Rn:Q5RK03	Dr:Q5XJM4
Q5SXM2	P07858	6621	1508	SNAPC4	CTSB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Mm:A2AIV6;Rn:D4A3C9	Ce:O16288;Ce:P43508;Ce:P25807;Ce:Q20950;Ce:P43507;Ce:P43510;Dm:Q9VY87;Dr:Q6PH75;Mm:P10605;Rn:Q6IN22	-
Q5SXM2	P57076	6621	56683	SNAPC4	CFAP298	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	Mm:A2AIV6;Rn:D4A3C9	-	-
Q5SXM2	E7EQ34	6621	-	SNAPC4	-	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	Mm:A2AIV6;Rn:D4A3C9	-	-
Q5SXM2	O60269	6621	9721	SNAPC4	GPRIN2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Mm:A2AIV6;Rn:D4A3C9	Mm:A0A2I3BRN2	Rn:D3ZH78
Q5SXM2	Q9NZ32	6621	55860	SNAPC4	ACTR10	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Mm:A2AIV6;Rn:D4A3C9	Dm:Q9VWE8;Mm:Q9QZB7;Rn:Q5M9F7	Dr:F1R008
Q5SXM2	O60287	6621	9875	SNAPC4	URB1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	Mm:A2AIV6;Rn:D4A3C9	Dm:Q9VD07;Dr:A0A0R4ILM9;Mm:E9PU96;Rn:D4A7S4	-
Q5SXM2	Q99460	6621	5707	SNAPC4	PSMD1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	Mm:A2AIV6;Rn:D4A3C9	Ce:Q18115;Dm:Q9V3P6;Mm:Q3TXS7;Rn:G3V8B6;Sc:P32565	Dr:F1QY43
Q5SXM2	Q6ZU45	6621	-	SNAPC4	CLEC20A	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	Mm:A2AIV6;Rn:D4A3C9	-	-
Q5SXM2	O15217	6621	2941	SNAPC4	GSTA4	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	Mm:A2AIV6;Rn:D4A3C9	-	-
Q5SXM2	Q92783	6621	8027	SNAPC4	STAM	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	Mm:A2AIV6;Rn:D4A3C9	Dm:Q9XTL2;Dr:A5PMY5;Mm:P70297;Rn:B5DF55	-
Q5SXM2	A6NE52	6621	340390	SNAPC4	WDR97	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Mm:A2AIV6;Rn:D4A3C9	Rn:F1LYQ6	Mm:A0A140LHH9
Q5SXM2	Q96MW1	6621	124808	SNAPC4	CCDC43	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	Mm:A2AIV6;Rn:D4A3C9	-	-
